name,mw,z,mz,ccs,data_dir,raw_path,mz_window,peak_select,min_ms_intensity,min_im_intensity,peak_height_frac
UBQ z=8,8565,8,1071.63,1622,output/waters_20260216/_converted,data_2_waters/20260216/20260216_UBQ_DEN_NEW_V1.raw,auto,last,100,500,0.1
UBQ z=9,8565,9,952.67,1649,output/waters_20260216/_converted,data_2_waters/20260216/20260216_UBQ_DEN_NEW_V1.raw,auto,last,100,500,0.1
UBQ z=10,8565,10,857.51,1732,output/waters_20260216/_converted,data_2_waters/20260216/20260216_UBQ_DEN_NEW_V1.raw,auto,last,100,500,0.1
UBQ z=11,8565,11,779.64,1802,output/waters_20260216/_converted,data_2_waters/20260216/20260216_UBQ_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=10,12359,10,1236.91,2226,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=11,12359,11,1124.55,2303,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=12,12359,12,1030.92,2335,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=13,12359,13,951.7,2391,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=14,12359,14,883.79,2473,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=15,12359,15,824.94,2579,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=16,12359,16,773.44,2679,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=17,12359,17,728.01,2723,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
CYTC z=18,12359,18,687.62,2766,output/waters_20260216/_converted,data_2_waters/20260216/20260216_CYTC_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=11,16952,11,1542.1,2942,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=12,16952,12,1413.67,3044,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=13,16952,13,1305.01,3136,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=14,16952,14,1211.86,3143,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=15,16952,15,1131.14,3230,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=16,16952,16,1060.51,3313,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=17,16952,17,998.18,3384,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=18,16952,18,942.79,3489,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=19,16952,19,893.22,3570,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=20,16952,20,848.61,3682,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=21,16952,21,808.25,3792,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
MYO z=22,16952,22,771.55,3815,output/waters_20260216/_converted,data_2_waters/20260216/20260216_MYO_DEN_NEW_V1.raw,auto,last,100,500,0.1
